"","ROI_Name","X_position","Y_position","type","SegmentType","Gene","Expression"
"168","Cx. V, 033, Iba1+",14266,22500,"Cortical layer V - Iba1+","Iba1+","AIF1",0.643852905807328
"169","Hipp. CA1, 021, Iba1+",19727,22092,"Hippocampus CA1 - Iba1+","Iba1+","AIF1",0.940166707136515
"170","Cx. II/III, 032, Iba1+",12988,25768,"Cortical layer II/III - Iba1+","Iba1+","AIF1",1.58202895616875
"171","Cx. II/III, 036, Iba1+",11922,23565,"Cortical layer II/III - Iba1+","Iba1+","AIF1",1.30110768518971
"172","Hipp. Hilus, 014, Neuropil",29808.294921875,17616.25390625,"Hippocampal hilus - Neuropil","Neuropil","AIF1",0.622371727684489
"173","Hipp. Hilus, 015, Neuropil",24204.931640625,16611.033203125,"Hippocampal hilus - Neuropil","Neuropil","AIF1",0.358573546572717
"174","Hipp. Hilus, 016, Neuropil",26931.96875,17934.740234375,"Hippocampal hilus - Neuropil","Neuropil","AIF1",0.46029145098023
"175","Cx. V, 009, Neuropil",19978,31299,"Cortical layer V - Neuropil","Neuropil","AIF1",-0.188632388699122
"176","Cx. II/III, 008, Neuropil",17781,32538,"Cortical layer II/III - Neuropil","Neuropil","AIF1",-1.36195451148135
"177","Cx. V, 007, Neuropil",15150,24659,"Cortical layer V - Neuropil","Neuropil","AIF1",-0.247697087866693
"178","Cx. V, 033, Neuropil",14266,22500,"Cortical layer V - Neuropil","Neuropil","AIF1",-0.341076854840575
"179","Hipp. CA1, 017, Neuropil",17683,20128,"Hippocampus CA1 - Neuropil","Neuropil","AIF1",-0.00479290459605054
"180","Hipp. CA1, 021, Neuropil",19727,22092,"Hippocampus CA1 - Neuropil","Neuropil","AIF1",0.540460059376529
"181","Hipp. CA1, 019, Neuropil",16563,16483,"Hippocampus CA1 - Neuropil","Neuropil","AIF1",-0.262847846270924
"182","Cx. II/III, 032, Neuropil",12988,25768,"Cortical layer II/III - Neuropil","Neuropil","AIF1",-0.0576691006805086
"183","Cx. II/III, 036, Neuropil",11922,23565,"Cortical layer II/III - Neuropil","Neuropil","AIF1",-0.472909403448237
"184","Cx. V, 009, GFAP+",19978,31299,"Cortical layer V - GFAP+","GFAP+","AIF1",-1.83726185790215
"185","Cx. II/III, 036, GFAP+",11922,23565,"Cortical layer II/III - GFAP+","GFAP+","AIF1",-1.51439897762281
"186","Cx. II/III, 008, GFAP+",17781,32538,"Cortical layer II/III - GFAP+","GFAP+","AIF1",-1.09815633036958
"187","Cx. II/III, 032, GFAP+",12988,25768,"Cortical layer II/III - GFAP+","GFAP+","AIF1",-0.511495268978466
"188","Cx. V, 007, GFAP+",15150,24659,"Cortical layer V - GFAP+","GFAP+","AIF1",-1.09815633036958
"189","Cx. V, 033, GFAP+",14266,22500,"Cortical layer V - GFAP+","GFAP+","AIF1",-0.511495268978466
"190","Hipp. CA1, 019, Iba1+",16563,16483,"Hippocampus CA1 - Iba1+","Iba1+","TYROBP",-1.10575808354176
"191","Cx. V, 007, Iba1+",15150,24659,"Cortical layer V - Iba1+","Iba1+","TYROBP",0.841821730604055
"192","Hipp. CA1, 017, Iba1+",17683,20128,"Hippocampus CA1 - Iba1+","Iba1+","TYROBP",1.53439645923639
